1580386291:[MONITR,461]battery 15251mV,    2684uA
1580386300:[MONITR,461]battery 15028mV,  242536uA
1580386313:[PRESS , 95]P    -50mbar,T-15012mdegC
1580386315:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386317:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386318:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386320:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386324:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386326:[PRESS , 95]P    -40mbar,T+23981mdegC
1580386327:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386329:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386331:[PRESS , 95]P    -40mbar,T+11528mdegC
1580386331:[BYPASS,149]opening 10000ms
1580386332:[MONITR,461]battery 14958mV,  346480uA
1580386337:[MONITR,461]battery 15133mV,  116022uA
1580386338:[MONITR,461]battery 15253mV,    2806uA
1580386347:[MONITR,461]battery 14981mV,  299022uA
1580386352:[MONITR,461]battery 15138mV,  112606uA
1580386353:[PRESS , 95]P    -40mbar,T-27468mdegC
1580386356:[PRESS , 95]P    -40mbar,T-15012mdegC
1580386363:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386365:[PRESS , 95]P    -20mbar,T-15012mdegC
1580386378:[BYPASS,149]opening 10000ms
1580386379:[MONITR,461]battery 14988mV,  288164uA
1580386384:[MONITR,461]battery 15250mV,    3538uA
1580386393:[MONITR,461]battery 15131mV,  139446uA
1580386394:[MONITR,461]battery 14982mV,  298656uA
1580386408:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386410:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386414:[PRESS , 95]P    -20mbar,T+11528mdegC
1580386415:[PRESS , 95]P    -30mbar,T-15012mdegC
1580386419:[PRESS , 95]P    -20mbar,T+23981mdegC
1580386421:[PRESS , 95]P    -20mbar,T+11528mdegC
1580386423:[PRESS , 95]P    -20mbar,T-27468mdegC
1580386424:[PRESS , 95]P    -30mbar,T+11528mdegC
1580386424:[BYPASS,149]opening 10000ms
1580386431:[MONITR,461]battery 15257mV,    2806uA
1580386440:[MONITR,461]battery 15065mV,  211182uA
1580386450:[PRESS , 95]P    +20mbar,T-15012mdegC
1580386452:[PRESS , 95]P    +30mbar,T-27468mdegC
1580386455:[PRESS , 95]P    +40mbar,T-15012mdegC
1580386460:[PRESS , 95]P    +80mbar,T+11528mdegC
1580386462:[PRESS , 95]P    +80mbar,T-15012mdegC
1580386464:[PRESS , 95]P    +90mbar,T+11528mdegC
1580386468:[PRESS , 95]P    +90mbar,T-15012mdegC
1580386469:[PRESS , 95]P   +100mbar,T+11528mdegC
1580386471:[PRESS , 95]P   +100mbar,T-15012mdegC
1580386474:[PRESS , 95]P   +110mbar,T+11528mdegC
1580386477:[PRESS , 95]P   +120mbar,T-15012mdegC
1580386480:[PRESS , 95]P   +130mbar,T+11528mdegC
1580386483:[PRESS , 95]P   +130mbar,T-15012mdegC
1580386488:[PRESS , 95]P   +140mbar,T+11528mdegC
1580386491:[PRESS , 95]P   +170mbar,T-15012mdegC
1580386494:[PRESS , 95]P   +180mbar,T+11528mdegC
1580386496:[PRESS , 95]P   +190mbar,T-15012mdegC
1580386502:[PRESS , 95]P   +200mbar,T+11528mdegC
1580386505:[PRESS , 95]P   +200mbar,T-15012mdegC
1580386508:[PRESS , 95]P   +200mbar,T+11528mdegC
1580386510:[PRESS , 95]P   +200mbar,T-15012mdegC
1580386513:[PRESS , 95]P   +210mbar,T+11528mdegC
1580386516:[PRESS , 95]P   +220mbar,T-15012mdegC
1580386527:[PRESS , 95]P   +270mbar,T+11528mdegC
1580386533:[PRESS , 95]P   +290mbar,T-15012mdegC
1580386541:[PRESS , 95]P   +300mbar,T+11528mdegC
1580386547:[PRESS , 95]P   +320mbar,T-15012mdegC
1580386549:[PRESS , 95]P   +310mbar,T-27468mdegC
1580386552:[PRESS , 95]P   +330mbar,T+11528mdegC
1580386555:[PRESS , 95]P   +340mbar,T-15012mdegC
1580386561:[PRESS , 95]P   +360mbar,T+11528mdegC
1580386566:[PRESS , 95]P   +380mbar,T-15012mdegC
1580386569:[PRESS , 95]P   +390mbar,T+11528mdegC
1580386572:[PRESS , 95]P   +400mbar,T-15012mdegC
1580386575:[PRESS , 95]P   +420mbar,T+11528mdegC
1580386583:[PRESS , 95]P   +440mbar,T-27468mdegC
1580386586:[PRESS , 95]P   +440mbar,T-15012mdegC
1580386591:[PRESS , 95]P   +480mbar,T+11528mdegC
1580386594:[PRESS , 95]P   +490mbar,T+23981mdegC
1580386597:[PRESS , 95]P   +500mbar,T+11528mdegC
1580386599:[DIVING,157]510mbar reached (+4mbar/s), 13 bypass done
1580386599:[MAIN  ,646]stage[0]
1580386602:[MAIN  ,651]internal pressure 80547Pa
1580386602:[BUOY  ,656]P   +510mbar
1580386604:[PRESS , 95]P   +540mbar,T-15012mdegC
1580386665:[PRESS , 81]P   +680mbar,T+11528mdegC
1580386667:[PRESS , 95]P   +680mbar,T-27468mdegC
1580386668:[PRESS , 95]P   +680mbar,T-15012mdegC
1580386674:[PRESS , 95]P   +720mbar,T+11528mdegC
1580386677:[PRESS , 95]P   +730mbar,T-27468mdegC
1580386679:[PRESS , 95]P   +730mbar,T+11528mdegC
1580386681:[PRESS , 95]P   +740mbar,T-15012mdegC
1580386683:[PRESS , 95]P   +760mbar,T+23981mdegC
1580386685:[PRESS , 95]P   +760mbar,T-15012mdegC
1580386686:[PRESS , 95]P   +770mbar,T+11528mdegC
1580386688:[PRESS , 95]P   +790mbar,T-15012mdegC
1580386690:[PRESS , 95]P   +790mbar,T+11528mdegC
1580386751:[PRESS , 81]P  +1060mbar,T-15012mdegC
1580386752:[PRESS , 95]P  +1060mbar,T+11528mdegC
1580386754:[PRESS , 95]P  +1060mbar,T-15012mdegC
1580386756:[PRESS , 95]P  +1070mbar,T+11528mdegC
1580386763:[PRESS , 95]P  +1110mbar,T-15012mdegC
