1557666145:[PRESS , 95]P  +4210mbar,T+16808mdegC
1557666147:[PRESS , 95]P  +4220mbar,T -9880mdegC
1557666148:[PRESS , 95]P  +4230mbar,T+28966mdegC
1557666150:[PRESS , 95]P  +4230mbar,T+16808mdegC
1557666152:[PRESS , 95]P  +4230mbar,T -9880mdegC
1557666157:[PRESS , 95]P  +4260mbar,T+28966mdegC
1557666159:[PRESS , 95]P  +4250mbar,T -9880mdegC
1557666220:[PRESS , 81]P  +4380mbar,T+16808mdegC
1557666222:[PRESS , 95]P  +4390mbar,T+28966mdegC
1557666224:[PRESS , 95]P  +4400mbar,T -9880mdegC
1557666227:[PRESS , 95]P  +4400mbar,T+28966mdegC
1557666236:[PRESS , 95]P  +4430mbar,T -9880mdegC
1557666238:[PRESS , 95]P  +4430mbar,T+28966mdegC
1557666240:[PRESS , 95]P  +4440mbar,T -9880mdegC
1557666241:[PRESS , 95]P  +4450mbar,T+28966mdegC
1557666245:[PRESS , 95]P  +4460mbar,T -9880mdegC
1557666306:[PRESS , 81]P  +4610mbar,T -9880mdegC
1557666308:[PRESS , 95]P  +4610mbar,T+28966mdegC
1557666311:[PRESS , 95]P  +4630mbar,T+16808mdegC
1557666313:[PRESS , 95]P  +4620mbar,T -9880mdegC
1557666315:[PRESS , 95]P  +4630mbar,T+28966mdegC
1557666317:[PRESS , 95]P  +4630mbar,T -9880mdegC
1557666324:[PRESS , 95]P  +4650mbar,T+28966mdegC
1557666326:[PRESS , 95]P  +4650mbar,T+16808mdegC
1557666327:[PRESS , 95]P  +4660mbar,T+28966mdegC
1557666331:[PRESS , 95]P  +4670mbar,T+16808mdegC
1557666392:[PRESS , 81]P  +4820mbar,T+28966mdegC
1557666452:[PRESS , 81]P  +5020mbar,T+16808mdegC
1557666460:[PUMP  ,367]during 17504ms
1557666461:[MONITR,461]battery 14596mV,  173728uA
1557666462:[MONITR,461]battery 14331mV,  311344uA
1557666479:[MONITR,461]battery 14688mV,  236070uA
