1564755812:[MONITR,461]battery 15298mV,    3782uA
1564755849:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755850:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564755852:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755854:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755859:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755865:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755868:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755870:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755872:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755874:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755925:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755927:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564755929:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755934:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755936:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564755976:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755980:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755982:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564755985:[PRESS , 95]P  +7260mbar,T+10611mdegC
1564755987:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564755992:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564755994:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564755998:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756000:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756001:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756040:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756044:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756046:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756051:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756053:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756055:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756056:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756058:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564756062:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756064:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756104:[PRESS , 95]P  +7250mbar,T+10611mdegC
1564756106:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756111:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756125:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756127:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756129:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756168:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756171:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756173:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756177:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756180:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756182:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756184:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756188:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756233:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756241:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756242:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756246:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756253:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756255:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564756297:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756299:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756301:[PRESS , 95]P  +7270mbar,T+10611mdegC
1564756303:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756308:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564756313:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756315:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756319:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756368:[PRESS , 95]P  +7240mbar,T+26768mdegC
