1557685232:[PRESS , 81]P  +3840mbar,T+28966mdegC
1557685235:[PRESS , 95]P  +3880mbar,T -9880mdegC
1557685237:[PRESS , 95]P  +3890mbar,T +2275mdegC
1557685245:[PUMP  ,367]during 60000ms
1557685247:[MONITR,461]battery 14326mV,  308782uA
1557685307:[MONITR,461]battery 14713mV,   66124uA
1557685309:[PRESS , 81]P  +4700mbar,T -9880mdegC
1557685314:[PRESS , 95]P  +4750mbar,T+28966mdegC
1557685318:[PRESS , 95]P  +4790mbar,T+16808mdegC
1557685320:[PRESS , 95]P  +4810mbar,T -9880mdegC
1557685323:[PRESS , 95]P  +4840mbar,T+28966mdegC
1557685327:[PRESS , 95]P  +4890mbar,T +2275mdegC
1557685330:[PRESS , 95]P  +4930mbar,T+28966mdegC
1557685334:[PRESS , 95]P  +4970mbar,T +2275mdegC
1557685342:[PUMP  ,367]during 60000ms
1557685343:[MONITR,461]battery 14281mV,  316102uA
1557685403:[MONITR,461]battery 14671mV,   74298uA
1557685406:[PRESS , 81]P  +5710mbar,T -9880mdegC
1557685407:[PRESS , 95]P  +5730mbar,T+28966mdegC
1557685413:[PRESS , 81]P  +5790mbar,T+28966mdegC
1557685415:[PRESS , 95]P  +5800mbar,T -9880mdegC
1557685416:[PRESS , 95]P  +5810mbar,T +2275mdegC
1557685418:[PRESS , 95]P  +5830mbar,T+28966mdegC
1557685422:[PRESS , 95]P  +5850mbar,T +2275mdegC
1557685424:[PRESS , 95]P  +5860mbar,T -9880mdegC
1557685427:[PRESS , 95]P  +5900mbar,T+28966mdegC
1557685429:[PRESS , 95]P  +5910mbar,T -9880mdegC
1557685431:[PRESS , 95]P  +5940mbar,T+28966mdegC
1557685439:[PUMP  ,367]during 60000ms
1557685440:[MONITR,461]battery 14475mV,  196908uA
1557685441:[MONITR,461]battery 14291mV,  311466uA
1557685500:[MONITR,461]battery 14473mV,  209840uA
1557685501:[MONITR,461]battery 14673mV,   66246uA
1557685503:[PRESS , 81]P  +6550mbar,T+28966mdegC
1557685505:[PRESS , 95]P  +6560mbar,T +2275mdegC
1557685506:[PRESS , 95]P  +6570mbar,T+28966mdegC
1557685510:[PRESS , 95]P  +6590mbar,T -9880mdegC
1557685512:[PRESS , 95]P  +6610mbar,T +2275mdegC
1557685514:[PRESS , 95]P  +6620mbar,T+28966mdegC
1557685519:[PRESS , 95]P  +6660mbar,T +2275mdegC
1557685521:[PRESS , 95]P  +6680mbar,T+28966mdegC
1557685524:[PRESS , 95]P  +6700mbar,T -9880mdegC
1557685526:[PRESS , 95]P  +6710mbar,T +2275mdegC
1557685528:[PRESS , 95]P  +6740mbar,T+28966mdegC
1557685536:[PUMP  ,367]during 60000ms
1557685538:[MONITR,461]battery 14266mV,  321104uA
1557685597:[MONITR,461]battery 14647mV,   79056uA
1557685600:[PRESS , 81]P  +7300mbar,T+28966mdegC
1557685602:[PRESS , 95]P  +7310mbar,T -9880mdegC
1557685603:[PRESS , 95]P  +7330mbar,T+28966mdegC
1557685610:[PRESS , 95]P  +7360mbar,T -9880mdegC
1557685614:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557685623:[PRESS , 95]P  +7390mbar,T -9880mdegC
1557685625:[PRESS , 95]P  +7380mbar,T+28966mdegC
1557685633:[PUMP  ,367]during 35469ms
1557685634:[MONITR,461]battery 14410mV,  236192uA
1557685670:[MONITR,461]battery 14647mV,   93086uA
1557685690:[PRESS , 95]P  +7400mbar,T -9880mdegC
1557685694:[PRESS , 95]P  +7410mbar,T+28966mdegC
1557685696:[PRESS , 95]P  +7410mbar,T +2275mdegC
1557685701:[PRESS , 95]P  +7390mbar,T+28966mdegC
1557685703:[PRESS , 95]P  +7380mbar,T +2275mdegC
1557685705:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557685708:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557685710:[PRESS , 95]P  +7360mbar,T+28966mdegC
1557685712:[PRESS , 95]P  +7360mbar,T -9880mdegC
1557685714:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557685774:[PRESS , 95]P  +7390mbar,T -9880mdegC
1557685778:[PRESS , 95]P  +7400mbar,T +2275mdegC
1557685780:[PRESS , 95]P  +7420mbar,T -9880mdegC
1557685782:[PRESS , 95]P  +7410mbar,T+28966mdegC
1557685785:[PRESS , 95]P  +7420mbar,T +2275mdegC
1557685787:[PRESS , 95]P  +7420mbar,T+28966mdegC
1557685789:[PRESS , 95]P  +7420mbar,T +2275mdegC
1557685792:[PRESS , 95]P  +7390mbar,T -9880mdegC
1557685794:[PRESS , 95]P  +7380mbar,T+28966mdegC
1557685796:[PRESS , 95]P  +7380mbar,T -9880mdegC
1557685798:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557685800:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557685801:[MONITR,461]battery 14900mV,   34892uA
1557685808:[PUMP  ,367]during 15187ms
1557685809:[MONITR,461]battery 14258mV,  328058uA
1557685824:[MONITR,461]battery 14783mV,   74542uA
1557685864:[PRESS , 95]P  +7390mbar,T+28966mdegC
1557685869:[PRESS , 95]P  +7410mbar,T -9880mdegC
1557685871:[PRESS , 95]P  +7400mbar,T+28966mdegC
1557685876:[PRESS , 95]P  +7390mbar,T +2275mdegC
1557685878:[PRESS , 95]P  +7400mbar,T -9880mdegC
1557685880:[PRESS , 95]P  +7400mbar,T+28966mdegC
1557685882:[PRESS , 95]P  +7400mbar,T-24417mdegC
1557685883:[PRESS , 95]P  +7410mbar,T+28966mdegC
1557685885:[PRESS , 95]P  +7410mbar,T +2275mdegC
1557685887:[PRESS , 95]P  +7410mbar,T+28966mdegC
1557685889:[PRESS , 95]P  +7410mbar,T-24417mdegC
1557685897:[PUMP  ,367]during 20090ms
1557685898:[MONITR,461]battery 14275mV,  326838uA
1557685918:[MONITR,461]battery 14663mV,  152012uA
1557685953:[PRESS , 95]P  +7390mbar,T -9880mdegC
1557685954:[PRESS , 95]P  +7390mbar,T+16808mdegC
1557685956:[PRESS , 95]P  +7400mbar,T+28966mdegC
1557685958:[PRESS , 95]P  +7400mbar,T -9880mdegC
1557685960:[PRESS , 95]P  +7410mbar,T+28966mdegC
1557685964:[PRESS , 95]P  +7390mbar,T -9880mdegC
1557685965:[PRESS , 95]P  +7400mbar,T+28966mdegC
1557685967:[PRESS , 95]P  +7410mbar,T +2275mdegC
1557685969:[PRESS , 95]P  +7400mbar,T+28966mdegC
1557685978:[PRESS , 95]P  +7390mbar,T +2275mdegC
1557685980:[MONITR,461]battery 14911mV,   34892uA
1557685986:[PUMP  ,367]during 20118ms
1557685988:[MONITR,461]battery 14300mV,  317444uA
1557686007:[MONITR,461]battery 14741mV,   99674uA
1557686042:[PRESS , 95]P  +7350mbar,T+28966mdegC
1557686047:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557686051:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557686052:[PRESS , 95]P  +7370mbar,T-24417mdegC
1557686054:[PRESS , 95]P  +7380mbar,T +2275mdegC
1557686058:[PRESS , 95]P  +7400mbar,T -9880mdegC
1557686060:[PRESS , 95]P  +7380mbar,T +2275mdegC
1557686075:[PUMP  ,367]during 20113ms
1557686076:[MONITR,461]battery 14490mV,  213378uA
1557686077:[MONITR,461]battery 14302mV,  318908uA
1557686096:[MONITR,461]battery 14795mV,   66002uA
1557686131:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557686138:[PRESS , 95]P  +7370mbar,T -9880mdegC
1557686139:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557686141:[PRESS , 95]P  +7360mbar,T+28966mdegC
1557686143:[PRESS , 95]P  +7360mbar,T-24417mdegC
1557686145:[PRESS , 95]P  +7360mbar,T +2275mdegC
1557686147:[PRESS , 95]P  +7360mbar,T -9880mdegC
1557686150:[PRESS , 95]P  +7370mbar,T-24417mdegC
1557686152:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557686156:[PRESS , 95]P  +7380mbar,T +2275mdegC
1557686164:[PUMP  ,367]during 17559ms
1557686165:[MONITR,461]battery 14357mV,  275720uA
1557686182:[MONITR,461]battery 14635mV,  165310uA
1557686221:[PRESS , 95]P  +7380mbar,T+28966mdegC
1557686223:[PRESS , 95]P  +7390mbar,T +2275mdegC
1557686225:[PRESS , 95]P  +7370mbar,T+28966mdegC
1557686227:[PRESS , 95]P  +7380mbar,T +2275mdegC
1557686241:[PRESS , 95]P  +7360mbar,T+28966mdegC
1557686246:[MONITR,461]battery 14912mV,   34770uA
1557686253:[PUMP  ,367]during 15088ms
1557686254:[MONITR,461]battery 14280mV,  320372uA
