1557679812:[MONITR,461]battery 14242mV,  304146uA
1557679815:[MONITR,461]battery 14892mV,   68198uA
1557679866:[PRESS , 81]P  +5270mbar,T+16808mdegC
1557679868:[PRESS , 95]P  +5270mbar,T+28966mdegC
1557679872:[PRESS , 95]P  +5280mbar,T -9880mdegC
1557679874:[PRESS , 95]P  +5270mbar,T+28966mdegC
1557679879:[PRESS , 95]P  +5290mbar,T +2275mdegC
1557679883:[PRESS , 95]P  +5300mbar,T+28966mdegC
1557679884:[PRESS , 95]P  +5310mbar,T +2275mdegC
1557679888:[PRESS , 95]P  +5310mbar,T+28966mdegC
1557679890:[PRESS , 95]P  +5310mbar,T +2275mdegC
1557679892:[PRESS , 95]P  +5320mbar,T+28966mdegC
1557679900:[PUMP  ,367]during 7473ms
1557679901:[MONITR,461]battery 14431mV,  229848uA
1557679909:[MONITR,461]battery 14923mV,   66002uA
1557679956:[PRESS , 81]P  +5410mbar,T+28966mdegC
1557679957:[PRESS , 95]P  +5430mbar,T +2275mdegC
1557679959:[PRESS , 95]P  +5420mbar,T+28966mdegC
1557679961:[PRESS , 95]P  +5430mbar,T +2275mdegC
1557679963:[PRESS , 95]P  +5430mbar,T+28966mdegC
1557679968:[PRESS , 95]P  +5430mbar,T +2275mdegC
1557679972:[PRESS , 95]P  +5430mbar,T+28966mdegC
1557679974:[PRESS , 95]P  +5450mbar,T +2275mdegC
1557679977:[PRESS , 95]P  +5440mbar,T+28966mdegC
1557679979:[PRESS , 95]P  +5440mbar,T-24417mdegC
1557679981:[PRESS , 95]P  +5440mbar,T +2275mdegC
1557679989:[PUMP  ,367]during 2486ms
1557679991:[MONITR,461]battery 14311mV,  311222uA
1557679993:[MONITR,461]battery 14897mV,   66002uA
1557680045:[PRESS , 81]P  +5500mbar,T +2275mdegC
1557680046:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557680048:[PRESS , 95]P  +5510mbar,T +2275mdegC
1557680050:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557680052:[PRESS , 95]P  +5510mbar,T -9880mdegC
1557680054:[PRESS , 95]P  +5500mbar,T +2275mdegC
1557680055:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557680057:[PRESS , 95]P  +5510mbar,T +2275mdegC
1557680061:[PRESS , 95]P  +5520mbar,T+28966mdegC
1557680064:[PRESS , 95]P  +5520mbar,T+14426mdegC
1557680066:[PRESS , 95]P  +5520mbar,T-24417mdegC
1557680070:[PRESS , 95]P  +5520mbar,T +2275mdegC
1557680078:[PUMP  ,367]during 9958ms
1557680079:[MONITR,461]battery 14415mV,  233996uA
1557680089:[MONITR,461]battery 14903mV,   68442uA
1557680134:[PRESS , 95]P  +5550mbar,T+28966mdegC
1557680136:[PRESS , 95]P  +5550mbar,T +2275mdegC
1557680141:[PRESS , 95]P  +5540mbar,T+28966mdegC
1557680144:[PRESS , 95]P  +5540mbar,T +2275mdegC
1557680148:[PRESS , 95]P  +5530mbar,T-24417mdegC
1557680150:[PRESS , 95]P  +5540mbar,T +2275mdegC
1557680152:[PRESS , 95]P  +5540mbar,T+28966mdegC
1557680159:[PRESS , 95]P  +5540mbar,T +2275mdegC
1557680167:[PUMP  ,367]during 7473ms
1557680168:[MONITR,461]battery 14548mV,  188856uA
1557680169:[MONITR,461]battery 14325mV,  315248uA
1557680176:[MONITR,461]battery 14895mV,   67100uA
1557680223:[PRESS , 95]P  +5520mbar,T+28966mdegC
1557680226:[PRESS , 95]P  +5520mbar,T +2275mdegC
1557680228:[PRESS , 95]P  +5520mbar,T -9880mdegC
1557680230:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557680233:[PRESS , 95]P  +5520mbar,T +2275mdegC
1557680237:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557680241:[PRESS , 95]P  +5500mbar,T +2275mdegC
1557680246:[PRESS , 95]P  +5500mbar,T+28966mdegC
1557680248:[PRESS , 95]P  +5500mbar,T +2275mdegC
1557680248:[MAIN  ,646]stage[1]
1557680250:[MAIN  ,651]internal pressure 81628Pa
1557680251:[MRMAID,557]acq started
1557680261:[BUOY  ,677]P  +5490mbar
1557680263:[PRESS , 95]P  +5480mbar,T+28966mdegC
1557680385:[PRESS , 81]P  +5400mbar,T+28966mdegC
1557680406:[MRMAID,565]54dbar, 29degC
1557680445:[PRESS , 81]P  +5340mbar,T +2275mdegC
1557680506:[PRESS , 95]P  +5320mbar,T+28966mdegC
1557680688:[PRESS , 95]P  +5290mbar,T +2275mdegC
1557680749:[PRESS , 95]P  +5270mbar,T+28966mdegC
1557680809:[PRESS , 95]P  +5220mbar,T -9880mdegC
1557680870:[PRESS , 95]P  +5200mbar,T+28966mdegC
1557680931:[PRESS , 81]P  +5130mbar,T+28966mdegC
1557680991:[PRESS , 81]P  +5070mbar,T+28966mdegC
1557681113:[PRESS , 95]P  +5040mbar,T +2275mdegC
1557681234:[PRESS , 95]P  +5050mbar,T+28966mdegC
1557681295:[PRESS , 95]P  +5020mbar,T -9880mdegC
1557681355:[PRESS , 95]P  +5010mbar,T+28966mdegC
1557681477:[PRESS , 95]P  +4960mbar,T +2275mdegC
1557681520:[MRMAID,589]ascent request rejected
1557681537:[PRESS , 95]P  +4960mbar,T+28966mdegC
1557681605:[MRMAID,565]50dbar, 29degC
1557681659:[PRESS , 95]P  +4950mbar,T +2275mdegC
1557681719:[PRESS , 95]P  +4940mbar,T+28966mdegC
1557682023:[PRESS , 95]P  +4950mbar,T-24417mdegC
1557682627:[MRMAID,966]<ERR>acq not stopped
1557682627:[MAIN  ,482]surfacing
1557682628:[PRESS , 95]P  +4920mbar,T +2275mdegC
1557682628:[SURFIN,145]P  +4920mbar
1557682637:[PUMP  ,367]during 60000ms
1557682638:[MONITR,461]battery 14348mV,  232532uA
1557682697:[MONITR,461]battery 14663mV,  183000uA
1557682699:[MONITR,461]battery 14822mV,   66002uA
1557682707:[MRMAID,594]acq stopped
1557682707:[MRMAID,664]$MEASFS,96151,2402.913483,40.014341;
1557682722:[MRMAID,578]<WRN>ascent request while not in mission
1557682722:[MRMAID,594]acq stopped
1557682753:[PRESS , 81]P  +4570mbar,T +2275mdegC
1557682755:[PRESS , 95]P  +4560mbar,T+28966mdegC
1557682760:[PRESS , 95]P  +4550mbar,T +2275mdegC
1557682762:[PRESS , 95]P  +4540mbar,T+28966mdegC
1557682766:[PRESS , 95]P  +4520mbar,T +2275mdegC
1557682771:[PRESS , 95]P  +4500mbar,T-24417mdegC
1557682773:[PRESS , 95]P  +4490mbar,T +2275mdegC
1557682775:[PRESS , 95]P  +4470mbar,T-24417mdegC
1557682777:[PRESS , 95]P  +4480mbar,T +2275mdegC
1557682778:[PRESS , 95]P  +4480mbar,T+28966mdegC
1557682787:[PUMP  ,367]during 60000ms
1557682788:[MONITR,461]battery 14242mV,  306830uA
1557682848:[MONITR,461]battery 14706mV,   88694uA
1557682903:[PRESS , 81]P  +3750mbar,T +2275mdegC
1557682907:[PRESS , 95]P  +3730mbar,T+28966mdegC
1557682914:[PRESS , 95]P  +3690mbar,T +2275mdegC
1557682916:[PRESS , 95]P  +3680mbar,T+28966mdegC
1557682919:[PRESS , 95]P  +3650mbar,T +2275mdegC
1557682921:[PRESS , 95]P  +3630mbar,T-24417mdegC
