1560245487:[OILLVL,113]5/5 hit(s), switched
1560245488:[MONITR,461]battery 14827mV, 1090070uA
1560245489:[MONITR,461]battery 15140mV,   89060uA
1560245489:[SURFIN,117]external bladder full
1560245494:[VALVE ,129]opening for 30000ms
1560245496:[MONITR,461]battery 14946mV,  635620uA
1560245525:[MONITR,461]battery 14960mV,  480436uA
1560245529:[SURFIN, 82]filling external bladder
1560245530:[OILLVL,113]0/5 hit(s), unswitched
1560245532:[MONITR,461]battery 15186mV,   12566uA
1560245532:[OILLVL,113]0/5 hit(s), unswitched
1560245533:[OILLVL,113]0/5 hit(s), unswitched
1560245538:[PUMP  ,367]during 300000ms
1560245538:[MONITR,461]battery 15037mV,  306830uA
1560245539:[OILLVL,113]0/5 hit(s), unswitched
1560245540:[MONITR,461]battery 14665mV, 1570994uA
1560245540:[OILLVL,113]0/5 hit(s), unswitched
1560245541:[OILLVL,113]0/5 hit(s), unswitched
1560245542:[OILLVL,113]0/5 hit(s), unswitched
1560245543:[OILLVL,113]0/5 hit(s), unswitched
1560245544:[OILLVL,113]0/5 hit(s), unswitched
1560245545:[OILLVL,113]0/5 hit(s), unswitched
1560245546:[OILLVL,113]0/5 hit(s), unswitched
1560245547:[OILLVL,113]5/5 hit(s), switched
1560245548:[OILLVL,113]5/5 hit(s), switched
1560245549:[OILLVL,113]5/5 hit(s), switched
1560245550:[MONITR,461]battery 14715mV, 1220732uA
1560245551:[MONITR,461]battery 15032mV,  117120uA
1560245551:[SURFIN,117]external bladder full
1560245551:[TESTMD, 60]pump run 12s
1560245556:[BYPASS,147]opening 30000ms
1560245558:[MONITR,461]battery 14942mV,  372100uA
1560245563:[MONITR,461]battery 15102mV,   60878uA
1560245592:[MONITR,461]battery 14998mV,  364048uA
1560245597:[MONITR,461]battery 15065mV,  223138uA
1560245601:[SURFIN, 82]filling external bladder
1560245602:[OILLVL,113]0/5 hit(s), unswitched
1560245603:[MONITR,461]battery 15188mV,   12566uA
1560245604:[OILLVL,113]0/5 hit(s), unswitched
1560245605:[OILLVL,113]0/5 hit(s), unswitched
1560245610:[PUMP  ,367]during 300000ms
1560245611:[MONITR,461]battery 14902mV,  735782uA
1560245611:[OILLVL,113]0/5 hit(s), unswitched
1560245612:[OILLVL,113]0/5 hit(s), unswitched
1560245612:[MONITR,461]battery 14666mV, 1572458uA
1560245613:[OILLVL,113]0/5 hit(s), unswitched
1560245614:[OILLVL,113]0/5 hit(s), unswitched
1560245615:[OILLVL,113]0/5 hit(s), unswitched
1560245616:[OILLVL,113]0/5 hit(s), unswitched
1560245617:[OILLVL,113]0/5 hit(s), unswitched
1560245618:[OILLVL,113]0/5 hit(s), unswitched
1560245619:[OILLVL,113]0/5 hit(s), unswitched
1560245620:[OILLVL,113]0/5 hit(s), unswitched
1560245621:[OILLVL,113]0/5 hit(s), unswitched
1560245622:[OILLVL,113]0/5 hit(s), unswitched
1560245623:[OILLVL,113]0/5 hit(s), unswitched
1560245624:[OILLVL,113]0/5 hit(s), unswitched
1560245626:[OILLVL,113]0/5 hit(s), unswitched
1560245627:[OILLVL,113]0/5 hit(s), unswitched
1560245628:[OILLVL,113]0/5 hit(s), unswitched
1560245629:[OILLVL,113]0/5 hit(s), unswitched
1560245630:[OILLVL,113]0/5 hit(s), unswitched
1560245631:[OILLVL,113]0/5 hit(s), unswitched
