1557673047:[MONITR,461]battery 14318mV,  304390uA
1557673064:[MONITR,461]battery 14876mV,   66368uA
1557673100:[PRESS , 81]P  +5270mbar,T+28966mdegC
1557673106:[PRESS , 95]P  +5290mbar,T +2275mdegC
1557673108:[PRESS , 95]P  +5280mbar,T+28966mdegC
1557673109:[PRESS , 95]P  +5290mbar,T +2275mdegC
1557673111:[PRESS , 95]P  +5290mbar,T+28966mdegC
1557673115:[PRESS , 95]P  +5290mbar,T-24417mdegC
1557673117:[PRESS , 95]P  +5300mbar,T +2275mdegC
1557673122:[PRESS , 95]P  +5300mbar,T+28966mdegC
1557673126:[PRESS , 95]P  +5320mbar,T +2275mdegC
1557673134:[PUMP  ,367]during 7483ms
1557673135:[MONITR,461]battery 14591mV,  174582uA
1557673136:[MONITR,461]battery 14333mV,  313540uA
1557673143:[MONITR,461]battery 14875mV,   68808uA
1557673189:[PRESS , 81]P  +5380mbar,T -9880mdegC
1557673191:[PRESS , 95]P  +5370mbar,T+28966mdegC
1557673193:[PRESS , 95]P  +5370mbar,T +2275mdegC
1557673195:[PRESS , 95]P  +5380mbar,T -9880mdegC
1557673197:[PRESS , 95]P  +5370mbar,T+28966mdegC
1557673200:[PRESS , 95]P  +5360mbar,T -9880mdegC
1557673202:[PRESS , 95]P  +5370mbar,T+28966mdegC
1557673207:[PRESS , 95]P  +5380mbar,T +2275mdegC
1557673211:[PRESS , 95]P  +5360mbar,T+28966mdegC
1557673213:[PRESS , 95]P  +5370mbar,T +2275mdegC
1557673215:[PRESS , 95]P  +5380mbar,T+28966mdegC
1557673275:[PRESS , 95]P  +5410mbar,T -9880mdegC
1557673336:[PRESS , 95]P  +5420mbar,T+28966mdegC
1557673457:[PRESS , 81]P  +5480mbar,T+28966mdegC
1557673526:[PUMP  ,367]during 7490ms
1557673527:[MONITR,461]battery 14336mV,  269864uA
1557673534:[MONITR,461]battery 14627mV,  234606uA
1557673535:[MONITR,461]battery 14935mV,   65636uA
1557673584:[PRESS , 95]P  +5530mbar,T +2275mdegC
1557673587:[PRESS , 95]P  +5520mbar,T+28966mdegC
1557673594:[PRESS , 95]P  +5500mbar,T +2275mdegC
1557673598:[PRESS , 95]P  +5510mbar,T+28966mdegC
1557673600:[PRESS , 95]P  +5500mbar,T -9880mdegC
1557673602:[PRESS , 95]P  +5500mbar,T+28966mdegC
1557673605:[PRESS , 95]P  +5500mbar,T-24417mdegC
1557673607:[PRESS , 95]P  +5500mbar,T+28966mdegC
1557673728:[PRESS , 81]P  +5410mbar,T+28966mdegC
1557673850:[PRESS , 81]P  +5320mbar,T+28966mdegC
1557673910:[PRESS , 81]P  +5260mbar,T+28966mdegC
1557673910:[MAIN  ,646]stage[1]
1557673913:[MAIN  ,651]internal pressure 81862Pa
1557673914:[MRMAID,557]acq started
1557673924:[PRESS , 95]P  +5240mbar,T +2275mdegC
1557673924:[BUOY  ,677]P  +5240mbar
1557674047:[PRESS , 81]P  +5160mbar,T+28966mdegC
1557674066:[MRMAID,565]52dbar, 29degC
1557674108:[PRESS , 95]P  +5140mbar,T +2275mdegC
1557674168:[PRESS , 95]P  +5140mbar,T+28966mdegC
1557674229:[PRESS , 95]P  +5130mbar,T +2275mdegC
1557674290:[PRESS , 95]P  +5130mbar,T+28966mdegC
1557674350:[PRESS , 95]P  +5090mbar,T +2275mdegC
1557674472:[PRESS , 95]P  +5110mbar,T+28966mdegC
1557674532:[PRESS , 95]P  +5100mbar,T +2275mdegC
1557674593:[PRESS , 95]P  +5100mbar,T+28966mdegC
1557674654:[PRESS , 95]P  +5090mbar,T +2275mdegC
1557674715:[PRESS , 95]P  +5050mbar,T+28966mdegC
1557674754:[MRMAID,589]ascent request rejected
1557674836:[PRESS , 95]P  +5080mbar,T +2275mdegC
1557674844:[MRMAID,565]51dbar, 2degC
1557674897:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557675018:[PRESS , 95]P  +5110mbar,T +2275mdegC
1557675079:[PRESS , 95]P  +5130mbar,T+28966mdegC
1557675321:[PRESS , 81]P  +5210mbar,T+28966mdegC
1557675382:[PRESS , 95]P  +5230mbar,T +2275mdegC
1557675503:[PRESS , 81]P  +5330mbar,T+28966mdegC
1557675564:[PRESS , 95]P  +5350mbar,T +2275mdegC
1557675945:[MRMAID,594]acq stopped
1557675945:[MRMAID,664]$MEASFS,79172,1978.590545,40.014343;
1557675961:[MRMAID,589]ascent request rejected
1557675987:[MAIN  ,482]surfacing
1557675989:[SURFIN,145]P  +5400mbar
1557675997:[PUMP  ,367]during 60000ms
1557675998:[MONITR,461]battery 14463mV,  187758uA
1557675999:[MONITR,461]battery 14266mV,  305976uA
