1576181835:[PRESS , 95]P  +1650mbar,T +2534mdegC
1576181837:[PRESS , 95]P  +1660mbar,T-11839mdegC
1576182142:[PRESS , 95]P  +2300mbar,T-26219mdegC
1576182144:[PRESS , 95]P  +2300mbar,T+13740mdegC
1576182148:[PRESS , 95]P  +2300mbar,T-11839mdegC
1576182150:[PRESS , 95]P  +2290mbar,T+28117mdegC
1576182153:[PRESS , 95]P  +2290mbar,T +2534mdegC
1576182155:[PRESS , 95]P  +2280mbar,T+28117mdegC
1576182157:[PRESS , 95]P  +2280mbar,T +2534mdegC
1576182159:[PRESS , 95]P  +2280mbar,T+28117mdegC
1576182162:[PRESS , 95]P  +2270mbar,T-11839mdegC
1576182162:[VALVE ,129]opening for 7596ms
1576182464:[PRESS , 95]P  +2930mbar,T+28117mdegC
1576182466:[PRESS , 95]P  +2930mbar,T-11839mdegC
1576182468:[PRESS , 95]P  +2930mbar,T+28117mdegC
1576182470:[PRESS , 95]P  +2940mbar,T-11839mdegC
1576182479:[PRESS , 95]P  +2960mbar,T+28117mdegC
1576182481:[PRESS , 95]P  +2960mbar,T-11839mdegC
1576182482:[PRESS , 95]P  +2960mbar,T+28117mdegC
1576182486:[PRESS , 95]P  +2960mbar,T-11839mdegC
1576182488:[PRESS , 95]P  +2970mbar,T+28117mdegC
1576182488:[VALVE ,129]opening for 4722ms
1576182788:[PRESS , 95]P  +3760mbar,T-11839mdegC
1576182795:[PRESS , 95]P  +3790mbar,T+13740mdegC
1576182797:[PRESS , 95]P  +3800mbar,T-11839mdegC
1576182806:[PRESS , 95]P  +3840mbar,T +2534mdegC
1576182808:[PRESS , 95]P  +3830mbar,T+28117mdegC
1576182809:[PRESS , 95]P  +3850mbar,T-11839mdegC
1576182811:[PRESS , 95]P  +3850mbar,T+28117mdegC
1576183113:[PRESS , 95]P  +4720mbar,T+13740mdegC
1576183115:[PRESS , 95]P  +4720mbar,T-11839mdegC
1576183126:[PRESS , 95]P  +4730mbar,T+28117mdegC
1576183127:[PRESS , 95]P  +4740mbar,T-11839mdegC
1576183133:[PRESS , 95]P  +4760mbar,T +2534mdegC
1576183135:[PRESS , 95]P  +4770mbar,T+28117mdegC
1576183138:[VALVE ,129]opening for 3696ms
1576183438:[PRESS , 95]P  +5740mbar,T-11839mdegC
1576183440:[PRESS , 95]P  +5730mbar,T+28117mdegC
1576183442:[PRESS , 95]P  +5750mbar,T-11839mdegC
1576183444:[PRESS , 95]P  +5770mbar,T+28117mdegC
1576183446:[PRESS , 95]P  +5760mbar,T-11839mdegC
1576183447:[PRESS , 95]P  +5770mbar,T+28117mdegC
1576183449:[PRESS , 95]P  +5780mbar,T-11839mdegC
1576183451:[PRESS , 95]P  +5790mbar,T +2534mdegC
1576183456:[PRESS , 95]P  +5820mbar,T+28117mdegC
1576183460:[PRESS , 95]P  +5820mbar,T +2534mdegC
1576183463:[PRESS , 95]P  +5820mbar,T+28117mdegC
1576183767:[PRESS , 95]P  +6790mbar,T-11839mdegC
1576183771:[PRESS , 95]P  +6810mbar,T+28117mdegC
1576183773:[PRESS , 95]P  +6820mbar,T +2534mdegC
1576183774:[PRESS , 95]P  +6830mbar,T-11839mdegC
1576183776:[PRESS , 95]P  +6830mbar,T+28117mdegC
1576183778:[PRESS , 95]P  +6840mbar,T-11839mdegC
1576183780:[PRESS , 95]P  +6840mbar,T+28117mdegC
